Test Time,Poll,Test,Variables,Iterations,Total Function Evaluations,Function Evaluations Before Optimum,Time,Optimal Value
2020-06-19 16:59:08,OrthoMADS,ELATTAR,7,10000,120453,120453,5.549702882766724,-9920.0
2020-06-19 16:59:13,LTMADS,ELATTAR,7,10000,70233,70233,1.8205780982971191,-10000.0
2020-06-19 16:59:16,LTMADS,ELATTAR,7,10000,70396,70396,1.7238919734954834,-10000.0
2020-06-19 16:59:18,LTMADS,ELATTAR,7,10000,69933,69933,1.753221035003662,-10000.0
2020-06-19 16:59:21,LTMADS,ELATTAR,7,10000,69517,69517,2.0146501064300537,-10000.0
2020-06-19 16:59:23,LTMADS,ELATTAR,7,10000,70110,70110,1.6676599979400635,-10000.0
2020-06-19 16:59:26,LTMADS,ELATTAR,7,10000,71094,71094,1.6569452285766602,-10000.0
2020-06-19 16:59:28,LTMADS,ELATTAR,7,10000,70093,70093,1.6954169273376465,-10000.0
2020-06-19 16:59:31,LTMADS,ELATTAR,7,10000,70015,70015,1.634721040725708,-10000.0
2020-06-19 16:59:33,LTMADS,ELATTAR,7,10000,70145,70145,1.5876219272613525,-10000.0
2020-06-19 16:59:35,LTMADS,ELATTAR,7,10000,69975,69975,1.611297845840454,-10000.0
2020-06-19 16:59:38,LTMADS,ELATTAR,7,10000,69376,69376,1.6706211566925049,-10000.0
2020-06-19 16:59:40,LTMADS,ELATTAR,7,10000,69464,69464,1.6715610027313232,-10000.0
2020-06-19 16:59:42,LTMADS,ELATTAR,7,10000,39963,39963,1.4358201026916504,-10000.0
2020-06-19 16:59:45,LTMADS,ELATTAR,7,10000,69409,69409,1.893787145614624,-10000.0
2020-06-19 16:59:48,LTMADS,ELATTAR,7,10000,69721,69721,1.8742220401763916,-10000.0
2020-06-19 16:59:50,LTMADS,ELATTAR,7,10000,69939,69939,1.9181580543518066,-10000.0
2020-06-19 16:59:53,LTMADS,ELATTAR,7,10000,69365,69365,2.1490650177001953,-10000.0
2020-06-19 16:59:56,LTMADS,ELATTAR,7,10000,70573,70573,1.8326590061187744,-10000.0
2020-06-19 16:59:59,LTMADS,ELATTAR,7,10000,70343,70343,1.7902588844299316,-10000.0
2020-06-19 17:00:01,LTMADS,ELATTAR,7,10000,70358,70358,1.6903660297393799,-10000.0
2020-06-19 17:00:04,LTMADS,ELATTAR,7,10000,69943,69943,1.85014009475708,-10000.0
2020-06-19 17:00:06,LTMADS,ELATTAR,7,10000,69660,69660,1.9402661323547363,-10000.0
2020-06-19 17:00:09,LTMADS,ELATTAR,7,10000,69889,69889,1.6694161891937256,-10000.0
2020-06-19 17:00:12,LTMADS,ELATTAR,7,10000,99922,99922,2.3537139892578125,-10000.0
2020-06-19 17:00:15,LTMADS,ELATTAR,7,10000,69813,69813,1.9181499481201172,-10000.0
2020-06-19 17:00:17,LTMADS,ELATTAR,7,10000,69752,69752,1.7601981163024902,-10000.0
2020-06-19 17:00:20,LTMADS,ELATTAR,7,10000,70192,70192,1.7873649597167969,-10000.0
2020-06-19 17:00:23,LTMADS,ELATTAR,7,10000,70237,70237,1.8339579105377197,-10000.0
2020-06-19 17:00:25,LTMADS,ELATTAR,7,10000,70402,70402,1.8046510219573975,-10000.0
2020-06-19 17:00:28,LTMADS,ELATTAR,7,10000,70448,70448,1.7388827800750732,-10000.0
2020-06-19 17:00:31,OrthoMADS,ELATTAR,7,10000,120453,120453,2.7235019207000732,-9920.0
2020-06-19 17:00:34,LTMADS,ELATTAR,7,10000,69683,69683,1.8457179069519043,-10000.0
2020-06-19 17:00:36,LTMADS,ELATTAR,7,10000,70099,70099,1.7954089641571045,-10000.0
2020-06-19 17:00:39,LTMADS,ELATTAR,7,10000,70793,70793,1.835233211517334,-10000.0
2020-06-19 17:00:42,LTMADS,ELATTAR,7,10000,70279,70279,1.9082798957824707,-10000.0
2020-06-19 17:00:44,LTMADS,ELATTAR,7,10000,70247,70247,1.7270941734313965,-10000.0
2020-06-19 17:00:47,LTMADS,ELATTAR,7,10000,69431,69431,1.8443310260772705,-10000.0
2020-06-19 17:00:49,LTMADS,ELATTAR,7,10000,70391,70391,1.5760219097137451,-10000.0
2020-06-19 17:00:52,LTMADS,ELATTAR,7,10000,100201,100201,2.236990213394165,-10000.0
2020-06-19 17:00:55,LTMADS,ELATTAR,7,10000,70130,70130,1.8404159545898438,-10000.0
2020-06-19 17:00:58,LTMADS,ELATTAR,7,10000,70346,70346,1.7722280025482178,-10000.0
2020-06-19 17:01:00,LTMADS,ELATTAR,7,10000,69989,69989,1.8046820163726807,-10000.0
2020-06-19 17:01:02,LTMADS,ELATTAR,7,10000,39824,39824,1.1529278755187988,-10000.0
2020-06-19 17:01:05,LTMADS,ELATTAR,7,10000,70098,70098,1.7615230083465576,-10000.0
2020-06-19 17:01:07,LTMADS,ELATTAR,7,10000,70120,70120,1.8432269096374512,-10000.0
2020-06-19 17:01:10,LTMADS,ELATTAR,7,10000,69511,69511,1.7574388980865479,-10000.0
2020-06-19 17:01:12,LTMADS,ELATTAR,7,10000,69872,69872,1.691744089126587,-10000.0
2020-06-19 17:01:15,LTMADS,ELATTAR,7,10000,70056,70056,1.728158950805664,-10000.0
2020-06-19 17:01:17,LTMADS,ELATTAR,7,10000,69953,69953,1.7342848777770996,-10000.0
2020-06-19 17:01:20,LTMADS,ELATTAR,7,10000,69759,69759,1.8192429542541504,-10000.0
2020-06-19 17:01:22,LTMADS,ELATTAR,7,10000,70240,70240,1.7360880374908447,-10000.0
2020-06-19 17:01:25,LTMADS,ELATTAR,7,10000,70019,70019,1.6710338592529297,-10000.0
2020-06-19 17:01:28,LTMADS,ELATTAR,7,10000,69863,69863,1.7668960094451904,-10000.0
2020-06-19 17:01:30,LTMADS,ELATTAR,7,10000,69990,69990,1.7291650772094727,-10000.0
2020-06-19 17:01:33,LTMADS,ELATTAR,7,10000,70107,70107,1.7939279079437256,-10000.0
2020-06-19 17:01:35,LTMADS,ELATTAR,7,10000,39777,39777,1.0723638534545898,-10000.0
2020-06-19 17:01:37,LTMADS,ELATTAR,7,10000,69688,69688,1.6810848712921143,-10000.0
2020-06-19 17:01:39,LTMADS,ELATTAR,7,10000,70199,70199,1.6158020496368408,-10000.0
2020-06-19 17:01:41,LTMADS,ELATTAR,7,10000,70016,70016,1.6649320125579834,-10000.0
2020-06-19 17:01:44,LTMADS,ELATTAR,7,10000,70311,70311,1.5812158584594727,-10000.0
2020-06-19 17:01:46,LTMADS,ELATTAR,7,10000,69854,69854,1.5471651554107666,-10000.0
2020-06-19 17:02:36,OrthoMADS,ELATTAR,7,10000,120453,120453,2.4897549152374268,-9920.0
2020-06-19 17:02:44,OrthoMADS,HS78,5,10000,17454,17454,0.8899719715118408,-2.36273234285e10
2020-06-19 17:02:45,LTMADS,HS78,5,10000,15087,15087,0.7536900043487549,-2.20500042178416e16
2020-06-19 17:02:47,LTMADS,HS78,5,10000,20846,20846,0.8345291614532471,-3.90463848013824e15
2020-06-19 17:02:48,LTMADS,HS78,5,10000,20587,20587,0.9247801303863525,-4.336092829016172e15
2020-06-19 17:02:50,LTMADS,HS78,5,10000,20859,20859,0.9246430397033691,-3.690831400942056e15
2020-06-19 17:02:52,LTMADS,HS78,5,10000,21073,21073,0.9254050254821777,-5.635055246566032e15
2020-06-19 17:02:54,LTMADS,HS78,5,10000,20781,20781,0.9479060173034668,-4.96945696500657e15
2020-06-19 17:02:55,LTMADS,HS78,5,10000,20739,20739,0.9510941505432129,-4.17434503677282e15
2020-06-19 17:02:57,LTMADS,HS78,5,10000,15155,15155,0.71527099609375,-2.1221150639545824e16
2020-06-19 17:02:58,LTMADS,HS78,5,10000,20527,20527,0.7072949409484863,-4.75996144470528e15
2020-06-19 17:03:00,LTMADS,HS78,5,10000,21130,21130,0.8385260105133057,-4.9014586872108e15
2020-06-19 17:03:02,LTMADS,HS78,5,10000,20870,20870,0.7397658824920654,-5.039516623159296e15
2020-06-19 17:03:03,LTMADS,HS78,5,10000,20885,20885,0.8208529949188232,-4.4436628178860365e15
2020-06-19 17:03:05,LTMADS,HS78,5,10000,20942,20942,0.8337981700897217,-4.247903250116802e15
2020-06-19 17:03:06,LTMADS,HS78,5,10000,20865,20865,0.9135069847106934,-4.897947844899648e15
2020-06-19 17:03:08,LTMADS,HS78,5,10000,15155,15155,0.7467648983001709,-2.1138510986208e16
2020-06-19 17:03:10,LTMADS,HS78,5,10000,20909,20909,0.8349559307098389,-4.56559993490832e15
2020-06-19 17:03:11,LTMADS,HS78,5,10000,15082,15082,0.7378079891204834,-2.14455268365264e16
2020-06-19 17:03:13,LTMADS,HS78,5,10000,20911,20911,0.8271758556365967,-4.584815444787435e15
2020-06-19 17:03:14,LTMADS,HS78,5,10000,15213,15213,0.7362079620361328,-2.13715322940483e16
2020-06-19 17:03:16,LTMADS,HS78,5,10000,20971,20971,0.8282649517059326,-3.691000973772546e15
2020-06-19 17:03:18,LTMADS,HS78,5,10000,20936,20936,0.9417622089385986,-4.970687773892932e15
2020-06-19 17:03:19,LTMADS,HS78,5,10000,15208,15208,0.8030109405517578,-2.0931303603254964e16
2020-06-19 17:03:21,LTMADS,HS78,5,10000,15262,15262,0.7167999744415283,-2.116432239606056e16
2020-06-19 17:03:22,LTMADS,HS78,5,10000,20954,20954,0.8141360282897949,-4.72072858907004e15
2020-06-19 17:03:24,LTMADS,HS78,5,10000,15086,15086,0.588388204574585,-2.132359401414528e16
2020-06-19 17:03:25,LTMADS,HS78,5,10000,20994,20994,0.7958619594573975,-5.21223971558724e15
2020-06-19 17:03:27,LTMADS,HS78,5,10000,20984,20984,0.8246910572052002,-4.79373998709375e15
2020-06-19 17:03:28,LTMADS,HS78,5,10000,15254,15254,0.7121109962463379,-2.1454766380944e16
2020-06-19 17:03:30,LTMADS,HS78,5,10000,15211,15211,0.7326409816741943,-2.0730906409525464e16
2020-06-19 17:03:31,LTMADS,HS78,5,10000,15215,15215,0.7206900119781494,-2.14106683811328e16
2020-06-19 17:03:43,OrthoMADS,POLAK1,3,10000,43169,43169,1.4312670230865479,-9964.0
2020-06-19 17:03:44,LTMADS,POLAK1,3,10000,20063,20063,0.6523199081420898,-10000.0
2020-06-19 17:03:46,LTMADS,POLAK1,3,10000,19944,19944,0.8142080307006836,-10000.0
2020-06-19 17:03:48,LTMADS,POLAK1,3,10000,30049,30049,0.9736740589141846,-10000.0
2020-06-19 17:03:50,LTMADS,POLAK1,3,10000,30019,30019,1.0086760520935059,-10000.0
2020-06-19 17:03:51,LTMADS,POLAK1,3,10000,30122,30122,0.9361371994018555,-10000.0
2020-06-19 17:03:53,LTMADS,POLAK1,3,10000,40020,40020,1.3391139507293701,-10000.0
2020-06-19 17:03:55,LTMADS,POLAK1,3,10000,30153,30153,1.0389089584350586,-10000.0
2020-06-19 17:03:57,LTMADS,POLAK1,3,10000,30086,30086,1.0616519451141357,-10000.0
2020-06-19 17:03:59,LTMADS,POLAK1,3,10000,30275,30275,1.070802927017212,-10000.0
2020-06-19 17:04:01,LTMADS,POLAK1,3,10000,39908,39908,1.0857949256896973,-10000.0
2020-06-19 17:04:03,LTMADS,POLAK1,3,10000,20199,20199,0.8683769702911377,-10000.0
2020-06-19 17:04:04,LTMADS,POLAK1,3,10000,20010,20010,0.9098179340362549,-10000.0
2020-06-19 17:04:06,LTMADS,POLAK1,3,10000,29866,29866,1.0712971687316895,-10000.0
2020-06-19 17:04:08,LTMADS,POLAK1,3,10000,29984,29984,0.9066569805145264,-10000.0
2020-06-19 17:04:10,LTMADS,POLAK1,3,10000,30061,30061,1.0291080474853516,-10000.0
2020-06-19 17:04:11,LTMADS,POLAK1,3,10000,29956,29956,1.0445549488067627,-10000.0
2020-06-19 17:04:13,LTMADS,POLAK1,3,10000,30171,30171,1.0570008754730225,-10000.0
2020-06-19 17:04:15,LTMADS,POLAK1,3,10000,40019,40019,1.1489248275756836,-10000.0
2020-06-19 17:04:17,LTMADS,POLAK1,3,10000,29945,29945,0.9539401531219482,-10000.0
2020-06-19 17:04:19,LTMADS,POLAK1,3,10000,30078,30078,0.952833890914917,-10000.0
2020-06-19 17:04:20,LTMADS,POLAK1,3,10000,19995,19995,0.8031020164489746,-10000.0
2020-06-19 17:04:22,LTMADS,POLAK1,3,10000,39923,39923,0.99086594581604,-10000.0
2020-06-19 17:04:24,LTMADS,POLAK1,3,10000,20147,20147,0.7954130172729492,-10000.0
2020-06-19 17:04:26,LTMADS,POLAK1,3,10000,29866,29866,0.8948838710784912,-10000.0
2020-06-19 17:04:27,LTMADS,POLAK1,3,10000,29996,29996,0.9108459949493408,-10000.0
2020-06-19 17:04:29,LTMADS,POLAK1,3,10000,30126,30126,0.8076250553131104,-10000.0
2020-06-19 17:04:31,LTMADS,POLAK1,3,10000,40008,40008,1.09250807762146,-10000.0
2020-06-19 17:04:32,LTMADS,POLAK1,3,10000,29919,29919,0.8893492221832275,-10000.0
2020-06-19 17:04:34,LTMADS,POLAK1,3,10000,40048,40048,1.1194519996643066,-10000.0
2020-06-19 17:04:36,LTMADS,POLAK1,3,10000,29992,29992,0.9229140281677246,-10000.0
